arm,fold,rmse,t_star
W,1,0.03147639775602266,760
W,2,0.02676166696092347,650
W,3,0.022669505569184373,630
W,4,0.019199450041605642,650
W,5,0.027962997539442706,710
GCRK,1,0.03263249969830397,380
GCRK,2,0.026608666697469176,410
GCRK,3,0.022864961325107753,360
GCRK,4,0.020010546659945463,270
GCRK,5,0.028195081297514774,350
GCRK-S,1,0.030734801371903302,670
GCRK-S,2,0.02649401361736671,610
GCRK-S,3,0.022937692788281935,490
GCRK-S,4,0.018669247543239995,510
GCRK-S,5,0.02790961433133276,410
GCRK-K8,1,0.031808288013925774,490
GCRK-K8,2,0.026623555053848853,510
GCRK-K8,3,0.02315734706626625,360
GCRK-K8,4,0.020276239826059566,280
GCRK-K8,5,0.028451218850013688,350
GCRK-slow,1,0.031374284149473824,490
GCRK-slow,2,0.026170149150308734,610
GCRK-slow,3,0.023145573194483036,510
GCRK-slow,4,0.01860173318111633,510
GCRK-slow,5,0.027865036377660392,410
