design,round,model,rmse,mae,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,peak_mag,peak_time,false_activity,false_activity_005,oracle_scale
main,round 1,W,0.026752460314051124,0.005787812637609807,0.013531108938664549,0.026686491204869434,0.02554076522469802,0.027667948909526556,0.07230333119834559,18.847731510254818,0.34705717383205736,0.07214225020196481,1.00810680508164
main,round 1,GCRK,0.026797000453229674,0.006305845808468959,0.01352970798302452,0.026849065552260517,0.025890279288920414,0.027621883656083656,0.07215786681400821,18.312616532007457,0.5544342264433683,0.09413025370129299,0.926523854469247
main,round 1,GCRK exit closed,0.027662658288737457,0.00611550516413205,0.01354319376643863,0.02693736070003784,0.026658660812164798,0.028682415170591384,0.07536657045517496,18.201988812927283,0.5624542178206218,0.08496335332750111,1.2347301006048998
main,round 2,W,0.02597410113756555,0.0053639455220298475,0.013272675957879863,0.025876981023484843,0.024058622806970107,0.02703229092797737,0.07035853475674633,18.75264139216905,0.26693260444615596,0.061188013545246396,1.036290801755223
main,round 2,GCRK,0.026437614526334193,0.005719376690205223,0.01361508551591968,0.026816261996925553,0.025323704858990607,0.027234329567528054,0.07105840033684574,18.63455562461156,0.3705771798596083,0.07591784113217498,0.9890888416112139
main,round 2,GCRK exit closed,0.027877593757362183,0.005537127445757851,0.013663674373583266,0.02700185698440333,0.026492264864336156,0.02901625805437592,0.07674410729102875,18.990677439403356,0.3648551922746889,0.06696860231976995,1.4859086441366873
loeo,round 1,W,0.030963187845183725,0.006822129418170787,0.013603097091774374,0.03136688347131051,0.03179181822678195,0.03145459999847483,0.08247708802893144,20.059042883778744,0.31346194899185026,0.08610607652478203,0.4256259639592875
loeo,round 1,GCRK,0.030227043938692893,0.006572298705392993,0.013473380094693175,0.027786655350476516,0.029686639706247995,0.03152967610783184,0.08120198733768194,21.058421379738967,0.38633671406386694,0.09358191399856845,0.5722491647635083
loeo,round 1,GCRK exit closed,0.029774715823332517,0.006251895495507571,0.013483832016025788,0.02730582790886138,0.02852878342443779,0.031228370161467865,0.08103384425436526,20.92852703542573,0.3880152195661,0.08753761987082624,0.8102583010359204
loeo,round 2,W,0.0297074939804484,0.007387890537348208,0.01412888536993863,0.027849506563593637,0.028309772298025972,0.03107389988711595,0.0791096408335426,22.543816034804227,0.7491241215053809,0.1529825912608883,0.7962559958418592
loeo,round 2,GCRK,0.02973291978732323,0.007437766400143859,0.014171160148502285,0.027845458187145285,0.028275025467566092,0.03111773733388215,0.07886429130510098,22.58172778123058,0.7367634562981629,0.15505456189332073,0.7793291741670375
loeo,round 2,GCRK exit closed,0.029731646268212553,0.007433247473851707,0.014170171437647702,0.02784457704025097,0.028274880249999263,0.031116120907926547,0.07887467004432858,22.573648228713488,0.7368932160751435,0.15478667074084462,0.7801503651174366
