design,round,arm,fold,t_star
main,round 1,W,1,470
main,round 1,W,2,350
main,round 1,W,3,360
main,round 1,W,4,540
main,round 1,W,5,620
main,round 1,GCRK,1,290
main,round 1,GCRK,2,280
main,round 1,GCRK,3,260
main,round 1,GCRK,4,230
main,round 1,GCRK,5,240
main,round 2,W,1,760
main,round 2,W,2,650
main,round 2,W,3,630
main,round 2,W,4,650
main,round 2,W,5,710
main,round 2,GCRK,1,380
main,round 2,GCRK,2,410
main,round 2,GCRK,3,360
main,round 2,GCRK,4,270
main,round 2,GCRK,5,350
loeo,round 1,W,1,620
loeo,round 1,W,2,330
loeo,round 1,W,3,470
loeo,round 1,W,4,220
loeo,round 1,W,5,330
loeo,round 1,GCRK,1,260
loeo,round 1,GCRK,2,410
loeo,round 1,GCRK,3,580
loeo,round 1,GCRK,4,240
loeo,round 1,GCRK,5,220
loeo,round 2,W,1,130
loeo,round 2,W,2,50
loeo,round 2,W,3,70
loeo,round 2,W,4,170
loeo,round 2,W,5,60
loeo,round 2,GCRK,1,110
loeo,round 2,GCRK,2,50
loeo,round 2,GCRK,3,70
loeo,round 2,GCRK,4,240
loeo,round 2,GCRK,5,60
