seed,fold,step,inner_rel,train_rel
0,1,100,0.00011455699593665436,0.0001113319560239745
0,1,200,-0.005195347516443127,-0.008032837194599463
0,1,300,-0.03654208478191623,0.03348701350392447
0,1,400,0.007327719731597071,-0.22492821953276765
0,2,100,8.255861866857117e-05,5.5667908211542994e-05
0,2,200,-0.011933777948565427,-0.023439644013022565
0,2,300,0.036979830849591444,0.07155017602804215
0,2,400,0.10335143902609745,-0.2012448241757998
0,3,100,7.199938017743435e-05,6.838430911382254e-05
0,3,200,-0.0036684610865191924,-0.015838556676976645
0,3,300,0.06966211294688351,0.03983623928932056
0,3,400,0.030971184225075277,-0.27916460295632506
0,4,100,5.0449240026395614e-05,6.770682110057713e-05
0,4,200,-0.019235760543164337,-0.032202076016547454
0,4,300,0.00025669251676285754,0.03448171693797408
0,4,400,0.09143343443324947,-0.2171634848658731
0,5,100,7.676448044868778e-05,6.299786820873621e-05
0,5,200,-0.004383644335641201,-0.010777423701023525
0,5,300,0.03488803187619016,0.03815388055868141
0,5,400,0.08026553863747177,-0.3693196313455719
1,1,100,0.00013065764234965194,0.00012899385315434664
1,1,200,-0.0026675705977666775,-0.0025215749222727846
1,1,300,-0.01585640317825865,0.015548043483962992
1,1,400,-0.02289169076275488,-0.07245853253412793
1,2,100,7.175586886543073e-05,8.46354337153965e-05
1,2,200,-0.006986957129801796,-0.009033471074798904
1,2,300,-0.008195721814548307,0.02169846783694296
1,2,400,0.03344987970598168,-0.11662693066018781
1,3,100,6.962823601486257e-05,8.800169672729119e-05
1,3,200,-0.007811845963209274,-0.01088397174902378
1,3,300,-0.01434881656754916,0.030267707321039783
1,3,400,0.02876376706174333,-0.07281428863356376
1,4,100,-6.279085589477873e-06,6.64657100091226e-05
1,4,200,-0.010714094554264864,-0.011520581752086811
1,4,300,-0.02078333388666498,0.030678338027932073
1,4,400,-0.046695328228664956,-0.09087372020105866
1,5,100,7.832222443582282e-05,0.00010174727708256448
1,5,200,-0.006632127650877728,-0.006992135225240337
1,5,300,-0.03986872396901053,0.02464071405534507
1,5,400,-0.02767198856013864,-0.060974196332156394
2,1,100,0.00035038252390373614,0.00022016462259988323
2,1,200,-0.0005998262287622014,-0.0015155905344491627
2,1,300,-0.031340199622186815,0.006294070940595864
2,1,400,-0.023601305579938114,-0.12373258591950576
2,2,100,0.0002937046393614029,0.00017369786022425338
2,2,200,-0.0007220352274714958,-0.0019525679048960631
2,2,300,-0.01531247830718363,0.012745623400916672
2,2,400,0.07764981351959177,-0.18985244774140186
2,3,100,0.00025629783664160577,0.00018134641051403833
2,3,200,-0.0008075548371571095,-0.000620104016829548
2,3,300,-0.029210211739102876,0.005435951665594407
2,3,400,0.033468895403276244,-0.15935783542001103
2,4,100,0.00014505859191871195,0.00010126379724151313
2,4,200,-0.0004919242355195808,-0.0010066359761999877
2,4,300,-0.0280727168690853,0.013659490496032989
2,4,400,0.0449040079359615,-0.12759874520712244
2,5,100,0.000377914852989214,0.0002454562187561571
2,5,200,-0.00026034536609353953,-0.0008333484047216011
2,5,300,-0.0388907920126319,0.009870485117516425
2,5,400,0.02407273448511571,-0.21614158728048727
3,1,100,8.742607730427565e-06,2.5406135681915742e-06
3,1,200,-4.600308880498005e-06,-2.0496993491381232e-05
3,1,300,-4.037259350220257e-05,-2.43576992439154e-05
3,1,400,0.0001274611200825504,-0.0008712279633962261
3,2,100,6.113967897070083e-06,2.5107030039439593e-06
3,2,200,-8.461562799433331e-06,-1.682215768861184e-05
3,2,300,-6.955889006965421e-05,-1.2835774207631268e-05
3,2,400,-0.005848408002961936,-0.013554937384424037
3,3,100,-8.743050318171797e-07,1.8696967327702652e-06
3,3,200,-3.044252698247707e-05,-4.412359155436807e-05
3,3,300,-0.0001395995365167657,-4.292385935877885e-05
3,3,400,-0.002113493014117118,-0.00809102129019168
3,4,100,3.538319814255786e-06,1.9517758911291594e-06
3,4,200,-1.6365654191385914e-05,-3.555311819802842e-05
3,4,300,-0.00013551190853500206,-9.239115758985506e-05
3,4,400,-0.007913298618228648,-0.01329097171592597
3,5,100,-2.2822516962950345e-06,3.0456159436642594e-06
3,5,200,-4.187623402918117e-05,-6.906227965441936e-05
3,5,300,-0.00035338569570142475,-0.0001683033635515585
3,5,400,-0.004813292058692631,-0.00781736542649314
4,1,100,2.2652452874138973e-05,4.382518149714798e-06
4,1,200,9.883459305415343e-06,1.1280795555457246e-05
4,1,300,2.6012766549898814e-05,4.725267191663107e-05
4,1,400,0.0007039035957683293,0.0003360745536646892
4,2,100,1.716158943021462e-05,5.373844039313624e-06
4,2,200,1.666013120349419e-05,2.560338880641666e-05
4,2,300,0.00013058859848391613,0.00013895540806996287
4,2,400,-0.011568186100829214,-0.03206177378785646
4,3,100,1.0054528083003333e-05,4.571768130068321e-06
4,3,200,-2.142556523421213e-06,-2.608767789347155e-06
4,3,300,5.669874328462221e-05,0.00016721644142947412
4,3,400,0.0001930367657518861,-0.01961338704749016
4,4,100,1.1481875551000442e-05,4.6890960176959595e-06
4,4,200,5.972501848638956e-06,4.817901951836845e-06
4,4,300,0.00029214024753532186,0.00025567170456586297
4,4,400,-0.012381132673537132,-0.020799954893918948
4,5,100,1.4509098338777449e-05,4.941239385880536e-06
4,5,200,3.362972125442454e-06,-1.1906378234449733e-06
4,5,300,0.00018421961639569773,0.00018277997846682936
4,5,400,-0.008734887333107677,-0.020213847130762908
