design,seed,fold,t_star,beta,alpha,abs_alpha_per_step
loeo,0,1,260,0.6262654066085815,0.7352478006621077,0.002827876156392722
loeo,0,2,410,0.6707896590232849,0.812177381306567,0.001980920442211139
loeo,0,3,580,0.7386741042137146,0.9475549106918323,0.0016337153632617798
loeo,0,4,240,0.5411805510520935,0.6058236090277161,0.002524265037615484
loeo,0,5,220,0.586882472038269,0.6728972686416079,0.003058623948370945
loeo,1,1,360,-0.7898296117782593,-1.0709785655680586,0.0029749404599112737
loeo,1,2,350,-0.6492279171943665,-0.7739629262946073,0.002211322646556021
loeo,1,3,470,0.6175124645233154,0.7209743333205182,0.001533987943235145
loeo,1,4,330,-0.7381901144981384,-0.9464905371353366,0.0028681531428343533
loeo,1,5,310,-0.6767030358314514,-0.8230066854956903,0.0026548602757925496
loeo,2,1,360,-0.7170850038528442,-0.9016184406568033,0.0025044956684911203
loeo,2,2,400,-0.7104921936988831,-0.8881770896165496,0.002220442724041374
loeo,2,3,420,0.5442458391189575,0.6101686984379725,0.001452782615328506
loeo,2,4,360,0.680505096912384,0.8300541796106907,0.0023057060544741407
loeo,2,5,280,0.6438381671905518,0.7647019591099546,0.002731078425392695
loeo,3,1,550,0.8282968401908875,1.182686476620055,0.0021503390484001
loeo,3,2,650,0.86252760887146,1.303133334273087,0.002004820514266288
loeo,3,3,750,0.7237343788146973,0.915442784114805,0.00122059037881974
loeo,3,4,520,0.7987144589424133,1.0950514985090911,0.0021058682663636368
loeo,3,5,570,0.8396978974342346,1.220148237486884,0.0021406109429594456
loeo,4,1,580,0.7208322882652283,0.9093753113729247,0.001567888467884353
loeo,4,2,510,0.7159839868545532,0.8993556637239514,0.0017634424778901008
loeo,4,3,690,0.6416163444519043,0.7609162676105501,0.00110277719943558
loeo,4,4,650,0.7843264937400818,1.0565152947634928,0.0016254081457899889
loeo,4,5,620,0.8254954814910889,1.173828045267182,0.0018932710407535195
