design,seed,fold,t_star,beta,alpha,abs_alpha_per_step
main,0,1,290,0.6493160128593445,0.7741152234463611,0.0026693628394702106
main,0,2,280,0.6266880035400391,0.7359434026875129,0.002628369295312546
main,0,3,260,0.6107454895973206,0.7101094948806862,0.002731190364925716
main,0,4,230,0.5674123167991638,0.6436981455740126,0.0027986875894522286
main,0,5,240,0.5064194798469543,0.5579024508407628,0.0023245935451698453
main,1,1,430,-0.8274010419845581,-1.179839649562165,0.002743813138516663
main,1,2,280,-0.6402778625488281,-0.7586445209178682,0.002709444717563815
main,1,3,330,-0.7387429475784302,-0.9477064446850018,0.002871837711166672
main,1,4,320,-0.7298357486724854,-0.9283758138674247,0.0029011744183357023
main,1,5,330,-0.72112637758255,-0.9099877566026608,0.0027575386563716995
main,2,1,380,-0.6998677849769592,-0.8670413295821264,0.0022816877094266486
main,2,2,280,-0.22438189387321472,-0.22826557572015732,0.0008152341990005619
main,2,3,360,-0.7231553792953491,-0.9142279996261191,0.002539522221183664
main,2,4,330,-0.6662985682487488,-0.8040566715110675,0.0024365353682153563
main,2,5,340,-0.6615645289421082,-0.7955907413264688,0.0023399727686072612
main,3,1,580,0.7995824217796326,1.0974534240181426,0.0018921610758933494
main,3,2,640,0.8673991560935974,1.3224792370506786,0.0020663738078916852
main,3,3,520,0.8277438879013062,1.180927621982653,0.002271014657658948
main,3,4,640,0.8804827928543091,1.3779117368542444,0.0021529870888347567
main,3,5,470,0.7374826669692993,0.9449377455496402,0.002010505841594979
main,4,1,620,0.7634031176567078,1.0043215180417477,0.0016198734161963673
main,4,2,570,0.7276083827018738,0.9236262464992456,0.001620396923682887
main,4,3,520,0.7226284146308899,0.91312424038157,0.0017560081545799425
main,4,4,450,0.6244675517082214,0.732295249776707,0.0016273227772815712
main,4,5,440,0.5376013517379761,0.6007757616462557,0.0013653994582869446
