seed,fold,group,n_features,base_deposit,occluded_deposit,reduction_share
0,1,path summaries,5,0.2873896658420563,0.21609282493591309,0.24808424711227417
0,1,slow thermal / snow / soil,10,0.2873896658420563,0.19522596895694733,0.3206924796104431
0,1,wind,14,0.2873896658420563,0.16347762942314148,0.43116384744644165
0,1,precipitation,6,0.2873896658420563,0.25347891449928284,0.1179957389831543
0,1,other,5,0.2873896658420563,0.2521022856235504,0.12278580665588379
0,2,path summaries,5,0.29537004232406616,0.2182168811559677,0.2612084746360779
0,2,slow thermal / snow / soil,10,0.29537004232406616,0.20933419466018677,0.2912815809249878
0,2,wind,14,0.29537004232406616,0.16786719858646393,0.4316715598106384
0,2,precipitation,6,0.29537004232406616,0.25805357098579407,0.12633806467056274
0,2,other,5,0.29537004232406616,0.25919073820114136,0.12248808145523071
0,3,path summaries,5,0.29021313786506653,0.21059513092041016,0.27434319257736206
0,3,slow thermal / snow / soil,10,0.29021313786506653,0.2034405618906021,0.2989960312843323
0,3,wind,14,0.29021313786506653,0.1704782396554947,0.41257572174072266
0,3,precipitation,6,0.29021313786506653,0.2537214756011963,0.1257408857345581
0,3,other,5,0.29021313786506653,0.2514258027076721,0.13365119695663452
0,4,path summaries,5,0.2949911653995514,0.21188825368881226,0.28171324729919434
0,4,slow thermal / snow / soil,10,0.2949911653995514,0.2069881558418274,0.29832422733306885
0,4,wind,14,0.2949911653995514,0.17386704683303833,0.41060250997543335
0,4,precipitation,6,0.2949911653995514,0.2618880271911621,0.11221736669540405
0,4,other,5,0.2949911653995514,0.2563421428203583,0.1310175657272339
0,5,path summaries,5,0.29412180185317993,0.22029352188110352,0.2510126233100891
0,5,slow thermal / snow / soil,10,0.29412180185317993,0.2046050876379013,0.3043525218963623
0,5,wind,14,0.29412180185317993,0.17547868192195892,0.4033809304237366
0,5,precipitation,6,0.29412180185317993,0.2507840096950531,0.14734643697738647
0,5,other,5,0.29412180185317993,0.2559374272823334,0.12982505559921265
1,1,path summaries,5,0.2841806411743164,0.18758653104305267,0.33990389108657837
1,1,slow thermal / snow / soil,10,0.2841806411743164,0.20692674815654755,0.27184784412384033
1,1,wind,14,0.2841806411743164,0.1659528613090515,0.4160304069519043
