design,seed,model,scope,k,rmse,rmse_scaled,mean_pred,mean_obs
loeo,0,W,pooled,0.4256259639592875,0.030963187845183725,0.02991178441940894,0.0040670593477557535,0.00452099914129265
loeo,0,W,per event,,0.030963187845183725,0.02871393676224474,0.0040670593477557535,0.00452099914129265
loeo,0,GCRK,pooled,0.5722491647635083,0.030227043938692893,0.029886083131667147,0.0036602975030037995,0.00452099914129265
loeo,0,GCRK,per event,,0.030227043938692893,0.029369326877914725,0.0036602975030037995,0.00452099914129265
loeo,0,closed,pooled,0.8102583010359204,0.029774715823332517,0.029732472127906126,0.0032509314739935413,0.00452099914129265
loeo,0,closed,per event,,0.029774715823332517,0.029039475961667904,0.0032509314739935413,0.00452099914129265
loeo,1,W,pooled,0.461561067199917,0.03068375982961696,0.029960406628225054,0.0035257695405164547,0.00452099914129265
loeo,1,W,per event,,0.03068375982961696,0.029186558550187692,0.0035257695405164547,0.00452099914129265
loeo,1,GCRK,pooled,0.6641397348751836,0.029819471971148197,0.029584278414710428,0.003840900331981265,0.00452099914129265
loeo,1,GCRK,per event,,0.029819471971148197,0.028283279956893916,0.003840900331981265,0.00452099914129265
loeo,1,closed,pooled,0.6135643165022521,0.030008062427537594,0.029684491835076005,0.003932286634695246,0.00452099914129265
loeo,1,closed,per event,,0.030008062427537594,0.028336827359385017,0.003932286634695246,0.00452099914129265
loeo,2,W,pooled,0.2925539676053372,0.032620579546261214,0.03003611445853038,0.004636150831048323,0.00452099914129265
loeo,2,W,per event,,0.032620579546261214,0.029587478722410136,0.004636150831048323,0.00452099914129265
loeo,2,GCRK,pooled,0.6239761481011379,0.029886770296160433,0.02953513544864196,0.004697834986318826,0.00452099914129265
loeo,2,GCRK,per event,,0.029886770296160433,0.02854767803486737,0.004697834986318826,0.00452099914129265
loeo,2,closed,pooled,0.5901475536134637,0.030052681989024655,0.02963596340092745,0.004694075764712977,0.00452099914129265
loeo,2,closed,per event,,0.030052681989024655,0.02855864409687739,0.004694075764712977,0.00452099914129265
loeo,3,W,pooled,0.5036094961354268,0.030467936958168063,0.02957799747835281,0.003940863585784898,0.00452099914129265
loeo,3,W,per event,,0.030467936958168063,0.029206920927995476,0.003940863585784898,0.00452099914129265
loeo,3,GCRK,pooled,0.5756510836284802,0.030108601822434317,0.02964385855928926,0.004278356996892757,0.00452099914129265
loeo,3,GCRK,per event,,0.030108601822434317,0.028514064667284518,0.004278356996892757,0.00452099914129265
loeo,3,closed,pooled,0.9742705168237018,0.02928955587241169,0.029288698247173877,0.003491893256627942,0.00452099914129265
loeo,3,closed,per event,,0.02928955587241169,0.028558125740798426,0.003491893256627942,0.00452099914129265
loeo,4,W,pooled,0.30178187058848926,0.03245260223011492,0.030025537751487745,0.004497635462558697,0.00452099914129265
loeo,4,W,per event,,0.03245260223011492,0.029080791606698072,0.004497635462558697,0.00452099914129265
loeo,4,GCRK,pooled,0.2695445983256428,0.03311121213192535,0.030060212102400324,0.005070301506718811,0.00452099914129265
loeo,4,GCRK,per event,,0.03311121213192535,0.029109306412548924,0.005070301506718811,0.00452099914129265
loeo,4,closed,pooled,0.41047089669149783,0.03103874640379537,0.029971622628240092,0.0043347590037545545,0.00452099914129265
loeo,4,closed,per event,,0.03103874640379537,0.029014852675987506,0.0043347590037545545,0.00452099914129265
