design,seed,model,threshold,false_activity
loeo,0,W,0.001,0.31346194899185026
loeo,0,W,0.005,0.08610607652478203
loeo,0,W,0.01,0.046700962315249284
loeo,0,W,0.02,0.024817603797357087
loeo,0,GCRK,0.001,0.38633671406386694
loeo,0,GCRK,0.005,0.09358191399856845
loeo,0,GCRK,0.01,0.046232152798416096
loeo,0,GCRK,0.02,0.02171592654759463
loeo,0,closed,0.001,0.3880152195661
loeo,0,closed,0.005,0.08753761987082624
loeo,0,closed,0.01,0.043096989154594124
loeo,0,closed,0.02,0.019078873015407928
loeo,1,W,0.001,0.21586585350539758
loeo,1,W,0.005,0.0776172756306953
loeo,1,W,0.01,0.04783531391401531
loeo,1,W,0.02,0.02650029509884765
loeo,1,GCRK,0.001,0.26982080593378904
loeo,1,GCRK,0.005,0.08805247317949126
loeo,1,GCRK,0.01,0.05356567309744959
loeo,1,GCRK,0.02,0.029329895396876558
loeo,1,closed,0.001,0.27360058266325665
loeo,1,closed,0.005,0.08969330648840743
loeo,1,closed,0.01,0.055152091016019054
loeo,1,closed,0.02,0.03166557138252764
loeo,2,W,0.001,0.25655600808696416
loeo,2,W,0.005,0.08841663771488847
loeo,2,W,0.01,0.054750254287304886
loeo,2,W,0.02,0.0318539323491124
loeo,2,GCRK,0.001,0.4205388797964027
loeo,2,GCRK,0.005,0.1213839926664797
loeo,2,GCRK,0.01,0.06734532425293947
loeo,2,GCRK,0.02,0.03348220826025625
loeo,2,closed,0.001,0.4315600892412402
loeo,2,closed,0.005,0.11736981117859549
loeo,2,closed,0.01,0.06455339614822753
loeo,2,closed,0.02,0.034721204840458264
loeo,3,W,0.001,0.2815368580553614
loeo,3,W,0.005,0.0795385574898599
loeo,3,W,0.01,0.04246074766746336
loeo,3,W,0.02,0.019530939335211363
loeo,3,GCRK,0.001,0.4043858804619448
loeo,3,GCRK,0.005,0.1110408827013474
loeo,3,GCRK,0.01,0.05952625124004303
loeo,3,GCRK,0.02,0.02796951063820881
loeo,3,closed,0.001,0.4071066499792803
loeo,3,closed,0.005,0.10258138240206276
loeo,3,closed,0.01,0.04624889599544585
loeo,3,closed,0.02,0.017605471676789324
loeo,4,W,0.001,0.31965693189286026
loeo,4,W,0.005,0.08744971808642
loeo,4,W,0.01,0.049605906999912096
loeo,4,W,0.02,0.02762208929984136
loeo,4,GCRK,0.001,0.328593613307493
loeo,4,GCRK,0.005,0.1029371753389451
loeo,4,GCRK,0.01,0.05918720150019045
loeo,4,GCRK,0.02,0.033683126624613334
loeo,4,closed,0.001,0.32805364520328334
loeo,4,closed,0.005,0.0989020648547737
loeo,4,closed,0.01,0.05469583889695818
loeo,4,closed,0.02,0.029497327367174125
