design,seed,model,threshold,false_activity
main,0,W,0.001,0.34705717383205736
main,0,W,0.005,0.07214225020196481
main,0,W,0.01,0.0320674081112418
main,0,W,0.02,0.012590884166377148
main,0,GCRK,0.001,0.5544342264433683
main,0,GCRK,0.005,0.09413025370129299
main,0,GCRK,0.01,0.03942604320581994
main,0,GCRK,0.02,0.014558209817373578
main,0,closed,0.001,0.5624542178206218
main,0,closed,0.005,0.08496335332750111
main,0,closed,0.01,0.033469650862483935
main,0,closed,0.02,0.011594663943106617
main,1,W,0.001,0.26235334005851746
main,1,W,0.005,0.05944253525489424
main,1,W,0.01,0.027596974504296722
main,1,W,0.02,0.010154748998547528
main,1,GCRK,0.001,0.2958313625195163
main,1,GCRK,0.005,0.06460781153857423
main,1,GCRK,0.01,0.03031774402163221
main,1,GCRK,0.02,0.011464904166126002
main,1,closed,0.001,0.29757684080986846
main,1,closed,0.005,0.06560403176184476
main,1,closed,0.01,0.031046073092426633
main,1,closed,0.02,0.011967200077018706
main,2,W,0.001,0.31625806289581965
main,2,W,0.005,0.06781413376977267
main,2,W,0.01,0.031401866029308965
main,2,W,0.02,0.011176084017362696
main,2,GCRK,0.001,0.43708953006031737
main,2,GCRK,0.005,0.08701439496364634
main,2,GCRK,0.01,0.03610670439467064
main,2,GCRK,0.02,0.013097365876527293
main,2,closed,0.001,0.42715662842241414
main,2,closed,0.005,0.08486707994458002
main,2,closed,0.01,0.03627413636496821
main,2,closed,0.02,0.013281541043854619
main,3,W,0.001,0.35951411242219644
main,3,W,0.005,0.08258581934927564
main,3,W,0.01,0.03602298840952185
main,3,W,0.02,0.013867552939896109
main,3,GCRK,0.001,0.4432928845598423
main,3,GCRK,0.005,0.09168574693494849
main,3,GCRK,0.01,0.037366629971159845
main,3,GCRK,0.02,0.014206602679748685
main,3,closed,0.001,0.4472568364566372
main,3,closed,0.005,0.08202910804803623
main,3,closed,0.01,0.03110886008128822
main,3,closed,0.02,0.010841220076767558
main,4,W,0.001,0.2611394582738601
main,4,W,0.005,0.05071514380313349
main,4,W,0.01,0.022841906547845778
main,4,W,0.02,0.0084971724926016
main,4,GCRK,0.001,0.41451970046420517
main,4,GCRK,0.005,0.08608514752849483
main,4,GCRK,0.01,0.03436541190357593
main,4,GCRK,0.02,0.012825288924793744
main,4,closed,0.001,0.4152564011335144
main,4,closed,0.005,0.07941716931139417
main,4,closed,0.01,0.029890792497373413
main,4,closed,0.02,0.010506356136172422
