model,seed,rmse,mae,n_cells,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,n_peak_units,peak_mag_abs_mean,peak_mag_abs_median,peak_mag_signed_mean,peak_time_abs_mean,peak_time_abs_median,peak_time_signed_mean,false_activity_share,under_half_share
W,0,0.030963187845183725,0.006822129418170787,382736,0.013603097091774374,0.03136688347131051,0.03179181822678195,0.03145459999847483,1609,0.08247708802893144,0.03440333902835846,-0.06532635546477211,20.059042883778744,4.0,4.393412057178372,0.31346194899185026,0.7617547703825436
W,1,0.03068375982961696,0.006502563863484841,382736,0.014143789930937173,0.031241044057522798,0.02983573324429459,0.031531468197632515,1609,0.0812691948759522,0.03376372531056404,-0.06592927820326264,23.254816656308265,4.0,5.359229334990677,0.21586585350539758,0.7882315347393408
W,2,0.032620579546261214,0.007444566245999072,382736,0.014705163326180524,0.03237779253161788,0.03583815287557773,0.032634603873173997,1609,0.08609888313794598,0.03695337101817131,-0.05978828088168295,24.32691112492231,5.0,0.8962088253573648,0.25655600808696416,0.7659088834109377
W,3,0.030467936958168063,0.006556724198652553,382736,0.013568766901677541,0.03006093669286032,0.03087401809057666,0.03119674969663378,1609,0.08370209842354288,0.040113309398293495,-0.06199163277120147,19.632691112492232,5.0,-2.0205096333126167,0.2815368580553614,0.7503880215466082
W,4,0.03245260223011492,0.007262934515399467,382736,0.014764858369734169,0.030794035450486694,0.03624786584833587,0.0325559260708304,1609,0.08225750116751368,0.03732358105480671,-0.06380008484867973,23.356743318831573,5.0,2.5773772529521444,0.31965693189286026,0.77572354606044
GCRK,0,0.030227043938692893,0.006572298705392993,382736,0.013473380094693175,0.027786655350476516,0.029686639706247995,0.03152967610783184,1609,0.08120198733768194,0.033421771600842476,-0.07165089235614291,21.058421379738967,4.0,2.5326289620882534,0.38633671406386694,0.7802885054323017
GCRK,1,0.029819471971148197,0.006560408936599224,382736,0.014134162691780007,0.02921113166592714,0.029165506149556226,0.030801088185879174,1609,0.07859679072933035,0.030993014574050903,-0.06742202727430653,22.60285891858297,4.0,5.915475450590429,0.26982080593378904,0.7475120971423355
GCRK,2,0.029886770296160433,0.007207851683778931,382736,0.014227569807005232,0.02814308946587768,0.028382831830585317,0.0312621322137504,1609,0.07836685498025688,0.033138099359348416,-0.0649150845078396,21.268489745183345,4.0,5.648850217526414,0.4205388797964027,0.7192093490367936
GCRK,3,0.030108601822434317,0.006918172747747072,382736,0.01404647979822094,0.028890285150382337,0.03119268673466345,0.030785628917493965,1609,0.080405839226338,0.03483249247074127,-0.06496527603488951,19.687383467992543,4.0,0.0254816656308266,0.4043858804619448,0.7462795581119328
GCRK,4,0.03311121213192535,0.007738029644989736,382736,0.014696415953492614,0.03146374502424738,0.03147084007958617,0.034610184284318724,1609,0.08358020440133687,0.03731023520231247,-0.05644276838465591,22.876320696084523,4.0,2.8713486637663146,0.328593613307493,0.7487902857664567
GCRK exit closed,0,0.029774715823332517,0.006251895495507571,382736,0.013483832016025788,0.02730582790886138,0.02852878342443779,0.031228370161467865,1609,0.08103384425436526,0.03272069711238146,-0.07465456127025366,20.92852703542573,4.0,3.233064014916097,0.3880152195661,0.7968593079521592
GCRK exit closed,1,0.030008062427537594,0.006682567672027635,382736,0.014137696489929496,0.02901447859320641,0.029268669764726935,0.03108483629394995,1609,0.07898881455711257,0.03175688907504082,-0.06746891273337624,22.416407706650094,4.0,6.136730888750777,0.27360058266325665,0.7542682370126906
GCRK exit closed,2,0.030052681989024655,0.007251544572437027,382736,0.014225256502100195,0.02811542717384008,0.028491381865735042,0.03148002079894653,1609,0.07867368771556045,0.03309002798050642,-0.0657466618232801,20.878185208203853,4.0,5.952144188937228,0.4315600892412402,0.7292979092486077
GCRK exit closed,3,0.02928955587241169,0.0062811481671608905,382736,0.014026675290193226,0.027257972629561544,0.02803852580082382,0.030638429474244555,1609,0.07967955812795499,0.03302878141403198,-0.0724499082650264,19.20447482908639,4.0,0.6140459912989434,0.4071066499792803,0.7687391582214919
GCRK exit closed,4,0.03103874640379537,0.007141257208123818,382736,0.014619580900479595,0.029247465320288706,0.029602211607414584,0.03243970275841596,1609,0.08080959221462629,0.035488029941916466,-0.0644909962933239,22.84400248601616,4.0,2.9645742697327533,0.32805364520328334,0.7670044736601844
