model,seed,rmse,mae,n_cells,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,n_peak_units,peak_mag_abs_mean,peak_mag_abs_median,peak_mag_signed_mean,peak_time_abs_mean,peak_time_abs_median,peak_time_signed_mean,false_activity_share,under_half_share
W,0,0.026752460314051124,0.005787812637609807,382736,0.013531108938664549,0.026686491204869434,0.02554076522469802,0.027667948909526556,1609,0.07230333119834559,0.03134361654520035,-0.05762736291281365,18.847731510254818,4.0,-0.7893101305158483,0.34705717383205736,0.6160869168264402
W,1,0.026054993723423178,0.005461987019511956,382736,0.013499828357783364,0.02664557005719836,0.024558540599183255,0.02688920824503902,1609,0.07159064492905638,0.03379670064896345,-0.05078316834330116,19.267868241143567,4.0,1.2591671845866999,0.26235334005851746,0.6094220761435223
W,2,0.026431171688894018,0.005638794757367091,382736,0.013513753364377282,0.026500601487007943,0.02378725811937898,0.027629595584777313,1609,0.0721948484056227,0.033889152109622955,-0.05302299530095739,19.802983219390924,4.0,-0.7650714729645742,0.31625806289581965,0.6121610517666393
W,3,0.026425044829143263,0.0059251895957495105,382736,0.01340209327126263,0.02613704600737047,0.025588165357237305,0.027284623077935548,1609,0.07086211859604263,0.035995371639728546,-0.04996571185249914,18.0236171535115,4.0,-2.3182100683654445,0.35951411242219644,0.5802063361636082
W,4,0.02582646754369017,0.005317264443563336,382736,0.013075484554747592,0.025415724475692725,0.024049876758094654,0.026909845379983026,1609,0.07181647566094404,0.03385919891297817,-0.05352559265090721,20.44686140459913,4.0,-1.6550652579241765,0.2611394582738601,0.6049027663653793
GCRK,0,0.026797000453229674,0.006305845808468959,382736,0.01352970798302452,0.026849065552260517,0.025890279288920414,0.027621883656083656,1609,0.07215786681400821,0.03151896968483925,-0.0570048289413311,18.312616532007457,4.0,-0.307644499689248,0.5544342264433683,0.5983748744636173
GCRK,1,0.026074747744639314,0.005527041143050732,382736,0.013433278127289115,0.02654362762856809,0.0252849616199479,0.026770310256954446,1609,0.07059097137067594,0.03136344067752361,-0.05416668093883542,19.077688004972032,4.0,1.7439403356121814,0.2958313625195163,0.6075960923947776
GCRK,2,0.0265073466358902,0.006051777294930948,382736,0.013573714224451673,0.02676875297462829,0.025604454602231465,0.02728039114216911,1609,0.071791192895378,0.03277556598186493,-0.05495139754711864,18.39900559353636,4.0,1.45183343691734,0.43708953006031737,0.5970053866520588
GCRK,3,0.026614426083575393,0.006091650914914126,382736,0.013276419026672962,0.026039400192383554,0.025663288386549857,0.02756305132311253,1609,0.0719310716845123,0.031314849853515625,-0.056877103515230974,18.311373523927905,4.0,-2.305158483530143,0.4432928845598423,0.6012051492741715
GCRK,4,0.026188259763712057,0.005969736222333927,382736,0.01329223700180143,0.02601353623620719,0.025016454966101186,0.02709958495402684,1609,0.0704005627112661,0.03259865567088127,-0.05195126328021149,17.418893722809198,3.0,-2.2554381603480422,0.41451970046420517,0.5952707020907514
GCRK exit closed,0,0.027662658288737457,0.00611550516413205,382736,0.01354319376643863,0.02693736070003784,0.026658660812164798,0.028682415170591384,1609,0.07536657045517496,0.030993325635790825,-0.06629429527347407,18.201988812927283,4.0,-0.4704785581106277,0.5624542178206218,0.672327216287775
GCRK exit closed,1,0.02681089567784796,0.005604034595479738,382736,0.01343999707552196,0.026707737185059678,0.02569537243521389,0.02771589844612147,1609,0.07235013399817755,0.03170597925782204,-0.05797906363562876,19.224984462399007,4.0,1.7197016780609073,0.29757684080986846,0.6295535469734319
GCRK exit closed,2,0.027006114940052547,0.006039021853467246,382736,0.013574496892143764,0.026875761566250368,0.02598272630500911,0.02789807703420019,1609,0.07284373931301384,0.03229849645867944,-0.05824468582055333,18.485394655065257,4.0,1.1528899937849597,0.42715662842241414,0.6207888249794576
GCRK exit closed,3,0.027823037072816536,0.005888765601584974,382736,0.013341634476333603,0.026431597862457606,0.02683230195076744,0.028967382288173787,1609,0.07653924039387908,0.031056486070156097,-0.06984356092911323,18.541951522684897,4.0,-2.275947793660659,0.4472568364566372,0.6834657171551173
GCRK exit closed,4,0.027232075275599593,0.005856328376303256,382736,0.013290326543821087,0.026303292381647737,0.026221921945548572,0.028279903381373126,1609,0.07374924259636748,0.032629743218421936,-0.06166502975573607,17.39714108141703,3.0,-2.2747047855811062,0.4152564011335144,0.6628321007943029
