seed,fold,unit,event,fips,rmse_own,rmse_donor_median,percentile,donor_sd,rmse_donor_min,rmse_donor_max
0,1,1,2019-03-13,01009,0.019116653,0.019049502909183502,0.635,0.00013055698946118355,0.018779665231704712,0.019213559105992317
0,1,8,2019-03-13,01055,0.00745001,0.007462931331247091,0.465,6.129689427325502e-05,0.007332876790314913,0.007536360062658787
0,1,9,2019-03-13,01065,0.0015711954,0.0014461656101047993,0.925,7.635371730430052e-05,0.0013568386202678084,0.0016082869842648506
0,1,17,2019-03-13,01127,0.007502718,0.007564280182123184,0.435,0.0002260918408865109,0.007092612329870462,0.007868340238928795
0,1,19,2019-03-13,05027,0.011595748,0.01163999643176794,0.08,2.070762639050372e-05,0.011583964340388775,0.011656603775918484
0,1,23,2019-03-13,08009,0.021035632,0.014171456918120384,0.7,0.008980666287243366,0.00965004600584507,0.044156529009342194
0,1,31,2019-03-13,08101,0.007536167,0.00775593426078558,0.405,0.0018089473014697433,0.007368645630776882,0.015370707027614117
0,1,45,2019-03-13,17127,0.011402113,0.01077491044998169,0.795,0.0005879863747395575,0.010091324336826801,0.01223953440785408
0,1,47,2019-03-13,17151,0.026596174,0.026638885959982872,0.2,2.9078306397423148e-05,0.026584643870592117,0.026670141145586967
0,1,54,2019-03-13,17193,0.008956473,0.008572819642722607,0.695,0.0005711263511329889,0.007987120188772678,0.010070186108350754
0,1,55,2019-03-13,17199,0.0074906168,0.006665213033556938,0.75,0.000805727147962898,0.006066431291401386,0.008925659582018852
0,1,59,2019-03-13,18051,0.007870075,0.007590245455503464,0.72,0.00039054840453900397,0.007282664068043232,0.008666089735925198
0,1,66,2019-03-13,18097,0.0076798974,0.008104115724563599,0.045,0.0005601412267424166,0.0076522319577634335,0.009817905724048615
0,1,73,2019-03-13,18143,0.004012712,0.003868098370730877,0.945,5.6981843954417855e-05,0.0038368776440620422,0.004055407829582691
0,1,74,2019-03-13,18147,0.0094463,0.009118009358644485,0.74,0.00043707541772164404,0.008510216139256954,0.010040489956736565
